Team,Conference,3P%,3P%.Rank,2P%,2P%.Rank,FT%,FT%.Rank,Blk%,Blk%.Rank,Stl%,Stl%.Rank,NST%,NST%.Rank,A%,A%.Rank,3PA%,3PA%.Rank,AdjOE,AdjOE.Rank
Bethune Cookman,SWAC,33.7,178,43.7,347,68.1,296,11.1,321,10.2,274,9.6,229,45.0,299,25.5,355,93.2,336
Saint Joseph's,A10,33.6,179,49.0,204,65.4,345,11.1,317,10.0,260,9.5,225,54.4,86,44.9,34,100.5,226
Sam Houston St.,WAC,33.6,180,46.8,292,60.5,358,7.4,57,8.7,106,9.7,250,53.1,120,42.3,73,100.7,220
Middle Tennessee,CUSA,33.5,181,52.7,63,75.7,47,10.4,292,9.4,193,9.7,249,48.8,232,42.6,65,106.5,109
St. John's,BE,33.5,182,51.0,123,67.7,305,9.1,195,8.2,62,7.7,52,61.9,9,32.4,299,110.2,48
Fairfield,MAAC,33.5,183,48.6,221,70.2,226,10.2,284,8.1,55,8.8,157,45.8,288,38.7,147,100.6,222
Oregon,P12,33.5,184,51.6,102,68.1,295,7.1,39,8.4,73,8.8,151,44.9,301,35.8,226,110.2,49
Appalachian St.,SB,33.5,185,46.9,288,66.6,331,9.8,252,8.2,63,7.8,58,51.7,155,43.3,53,101.1,211
Penn,Ivy,33.5,186,52.0,85,72.8,140,9.0,185,8.4,79,8.6,124,46.9,273,40.2,113,106.2,111
Utah,P12,33.5,187,47.3,270,77.4,18,10.4,288,9.2,157,8.9,163,55.1,77,39.4,133,107.5,87
Wright St.,Horz,33.4,188,52.5,68,76.6,28,7.4,56,10.7,306,7.0,27,51.3,164,32.7,294,106.4,110
North Dakota,Sum,33.4,189,44.8,338,73.6,111,9.2,205,9.3,174,8.2,93,49.9,198,44.3,40,96.6,292
UC Santa Barbara,BW,33.4,190,55.0,21,70.5,214,6.8,26,9.3,175,10.0,267,57.0,43,30.0,337,105.3,131
Cal St. Fullerton,BW,33.4,191,48.4,230,76.7,24,8.8,167,8.8,119,9.1,177,44.6,307,29.9,341,104.3,151
Dartmouth,Ivy,33.4,192,46.6,300,77.6,16,7.1,42,9.3,169,8.1,84,42.9,332,45.0,33,98.7,259
New Mexico St.,WAC,33.4,193,53.3,49,69.8,239,6.5,13,10.1,264,10.7,327,53.5,105,41.1,101,107.1,92
Cal Baptist,WAC,33.4,194,49.8,173,68.0,297,6.7,22,9.1,149,11.3,344,63.9,4,42.8,60,99.0,254
Little Rock,SB,33.3,195,46.6,299,73.2,123,8.0,97,8.9,130,11.4,346,54.7,82,38.7,149,97.0,285
Samford,SC,33.3,196,53.5,44,72.8,143,6.5,14,11.0,326,8.3,100,46.0,287,43.4,48,105.0,136
East Carolina,Amer,33.3,197,45.4,327,75.4,54,11.9,339,10.0,257,8.7,141,63.1,5,39.2,138,102.7,183
Air Force,MWC,33.3,198,51.6,106,64.9,347,11.9,340,8.5,84,13.0,354,57.7,38,43.5,46,95.6,307
Merrimack,NEC,33.3,199,47.8,253,67.9,301,9.2,203,9.3,166,9.2,189,50.5,182,40.5,108,94.2,325
Indiana,B10,33.3,200,50.9,125,70.0,235,6.9,31,9.6,220,7.6,50,56.6,50,31.1,321,107.1,95
UNLV,MWC,33.2,201,48.6,223,73.8,105,8.8,168,7.7,34,9.2,188,56.1,59,42.8,61,107.7,86
Iona,MAAC,33.2,202,51.2,115,69.3,263,8.3,125,10.0,258,7.9,64,60.7,13,36.1,217,107.9,81
